"EPA Registration Number","Active Ingredient(s)","Product Name","Company","To kill SARS-CoV-2 (COVID-19), follow disinfection directions for the following virus(es)","Contact Time (in minutes)","Formulation Type","Surface Types","Use Sites","Emerging Viral Pathogen Claim?","Date Added to List N"
"67619-30","Sodium hypochlorite","GNR","Clorox Professional Products Company","Coxsackievirus; Feline calicivirus; Feline panleukopenia Virus; Minute virus of mice; Poliovirus; Rhinovirus Type 37","1","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"67619-31","Quaternary ammonium","Clorox Commercial Solutions® Clorox® Disinfecting Wipes","Clorox Professional Products Company","Rotavirus","4","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"67619-32","Sodium hypochlorite","CloroxPro™ Clorox® Germicidal Bleach","Clorox Professional Products Company","Canine parvovirus; Coxsackievirus B3 Virus; Enterovirus D68; Norovirus; Feline parvovirus; Hepatitis A Virus; Murine norovirus; Poliovirus; Rhinovirus","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"67619-33","Hydrogen peroxide","Clorox Commercial Solutions® Clorox® Disinfecting Biostain & Odor Remover","Clorox Professional Products Company","Enterovirus; Norovirus; Rhinovirus Type 37","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"67619-37","Quaternary ammonium","Clorox Healthcare® VersaSure® Wipes","Clorox Professional Products Company","Norovirus","5","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"67619-38","Quaternary ammonium","CloroxPro™ Clorox Total 360® Disinfecting Cleaner1","Clorox Professional Products Company","Adenovirus","2","Ready-to-use; Electrostatic spray (Clorox® Total 360® system)","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"6836-140","Quaternary ammonium","Lonza Formulation S-21F","Lonza LLC","Norovirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"6836-152","Quaternary ammonium","Lonza Formulation DC-103","Lonza LLC","Norovirus","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"6836-266","Quaternary ammonium","BARDAC 205M-10","Lonza LLC","Norovirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"6836-278","Quaternary ammonium","BARDAC 205M- 14.08","Lonza LLC","Norovirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"6836-289","Quaternary ammonium","BARDAC 205M RTU","Lonza LLC","Norovirus","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"6836-302","Quaternary ammonium","BARDAC 205M-2.6","Lonza LLC","Norovirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"6836-305","Quaternary ammonium","BARDAC 205M-23","Lonza LLC","Norovirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"6836-313","Quaternary ammonium","Lonza Disinfectant Wipes","Lonza LLC","Rotavirus","10","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"6836-340","Quaternary ammonium","Lonza Disinfectant Wipes Plus 2","Lonza LLC","Norovirus","10","Wipe","Hard Nonporous (HN)","Healthcare; Institutional","Yes","03/03/2020"
"6836-349","Quaternary ammonium","Lonzagard RCS-256 Plus","Lonza LLC","Enterovirus D68; Norovirus","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"6836-361","Quaternary ammonium","Nugen MB5A-256","Lonza LLC","Norovirus","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"6836-364","Quaternary ammonium","Nugen MB5N-256","Lonza LLC","Norovirus","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"6836-365","Quaternary ammonium","Nugen MB5N-128","Lonza LLC","Norovirus","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"6836-70","Quaternary ammonium","BARDAC 205M-7.5","Lonza LLC","Norovirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"6836-75","Quaternary ammonium","Lonza Formulation S-21","Lonza LLC","Norovirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"6836-77","Quaternary ammonium","Lonza Formulation S-18","Lonza LLC","Norovirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"6836-78","Quaternary ammonium","Lonza Formulation R-82","Lonza LLC","Norovirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"70627-24","Quaternary ammonium","Virex™ II / 256","Diversey Inc","Adenovirus Type 2","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Yes","03/03/2020"
"70627-56","Hydrogen peroxide","Oxivir™ Tb","Diversey Inc","Norovirus; Rhinovirus; Poliovirus Type 1","1","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Yes","03/03/2020"
"70627-58","Hydrogen peroxide","Oxy-Team™ Disinfectant Cleaner","Diversey Inc","Canine parvovirus; Feline picornavirus","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Yes","03/03/2020"
"70627-60","Hydrogen peroxide","Oxivir™ Wipes","Diversey Inc","Norovirus; Poliovirus Type 1; Rhinovirus Type 14","1","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"70627-72","Sodium hypochlorite","Avert Sporicidal Disinfectant Cleaner","Diversey Inc","Canine parvovirus; Norovirus; Hepatitis A; Poliovirus Type 1","1","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Yes","03/03/2020"
"70627-74","Hydrogen peroxide","Oxivir™ 1","Diversey Inc","Canine parvovirus; Enterovirus Type D68","1","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Yes","03/03/2020"
"70627-77","Hydrogen peroxide","Oxivir™ 1 Wipes","Diversey Inc","Enterovirus Type D68","1","Wipe","Hard Nonporous (HN)","Healthcare; Institutional","Yes","03/03/2020"
"71847-6","Sodium dichloro-S-triazinetrione","Klorsept","Medentech LTD","Hepatitis A virus; Coxsackievirus B3","1","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"71847-7","Sodium dichloro-S-triazinetrione","Klorkleen","Medentech LTD","Hepatitis A virus; Coxsackievirus B3","1","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"777-127","Quaternary ammonium; Ethanol (Ethyl alcohol)","Lysol® Disinfectant Max Cover Mist","Reckitt Benckiser LLC","Norovirus","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"777-132","Hydrochloric acid","Lysol® Brand Power Plus Toilet Bowl Cleaner","Reckitt Benckiser LLC","Poliovirus Type 1","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Residential","Yes","03/03/2020"
"1677-251","Hydrogen peroxide","Peroxide Disinfectant And Glass Cleaner RTU","Ecolab Inc","Norovirus","0.75 (45 seconds)","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Yes","03/03/2020"
"777-81","Hydrochloric acid","Lysol® Brand Lime & Rust Toilet Bowl Cleaner","Reckitt Benckiser LLC","Poliovirus Type 1; Hepatitis A virus","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"777-89","Quaternary ammonium","Lysol® Brand Clean & Fresh Multi-surface Cleaner","Reckitt Benckiser LLC","Rotavirus WA","3","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Institutional; Residential","Yes","03/03/2020"
"777-99","Quaternary ammonium; Ethanol (Ethyl alcohol)","Lysol® Disinfectant Spray","Reckitt Benckiser LLC","Norovirus","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"84150-1","Ethanol (Ethyl alcohol)","PURELL Professional Surface Disinfectant Wipes","GOJO Industries Inc","Norovirus","5","Wipe","Hard Nonporous (HN); Food Contact No Rinse (FCNR)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"84368-1","Ethanol (Ethyl alcohol)","Urthpro","Urthtech LLC","Hepatitis A virus","1","Ready-to-use","Hard Nonporous (HN); Food Contact No Rinse (FCNR)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"88494-3","Quaternary ammonium; Ethanol (Ethyl alcohol)","Peak Disinfectant","North American Infection Control Ltd","Poliovirus Type 1; Rhinovirus","1","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"88494-4","Quaternary ammonium; Ethanol (Ethyl alcohol)","Peak Disinfectant Wipes","North American Infection Control Ltd","Poliovirus Type 1; Rhinovirus","1","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"9480-10","Quaternary ammonium; Ethanol (Ethyl alcohol); Isopropanol (Isopropyl alcohol)","Sani-Prime Germicidal Spray","Professional Disposables International Inc","Feline calicivirus","3","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Yes","03/03/2020"
"9480-12","Quaternary ammonium; Ethanol (Ethyl alcohol); Isopropanol (Isopropyl alcohol)","Sani-Cloth Prime Germicidal Disposable Wipe","Professional Disposables International Inc","Feline calicivirus","3","Wipe","Hard Nonporous (HN)","Healthcare; Institutional","Yes","03/03/2020"
"9480-14","Hydrogen Peroxide","Sani-HyPerCide Germicidal Spray","Professional Disposables International Inc","Norovirus","1","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Yes","03/03/2020"
"5813-122","Sodium hypochlorite","Clorox Splash-Less Bleach1","The Clorox Company","Human coronavirus","6","Dilutable","Hard Nonporous (HN)","Institutional; Residential","No","05/21/2020"
"1839-216","Quaternary ammonium","SC-NDC-64","Stepan Company","Human coronavirus","5","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","No","04/30/2020"
"777-139","Citric acid","T-bone","Reckitt Benckiser LLC","Human coronavirus","5","Wipe","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","No","04/30/2020"
"91176-2","1,2-Hexanediol","PELS 422","The Gilla Company LLC","Human coronavirus","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","No","04/23/2020"
"1839-235","Quaternary ammonium","SC-5:256N","Stepan Company","Rotavirus","5","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","No","04/23/2020"
"1839-244","Quaternary ammonium","SC-5:64HN","Stepan Company","Feline calicivirus","5","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","No","04/23/2020"
"954-11","Quaternary ammonium","Barbicide","King Research Inc","Human coronavirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","No","04/02/2020"
"11346-3","Sodium hypochlorite","Clorox HW","The Clorox Company","Feline calicivirus; Norovirus","1","Wipe","Hard Nonporous (HN)","Healthcare; Residential","No","03/26/2020"
"11346-6","Sodium hypochlorite","Clorox HS","The Clorox Company","Feline calicivirus; Norovirus","1","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Residential","No","03/26/2020"
"1677-216","Sodium chlorite","Exspor Base Concentration","Ecolab Inc","Feline calicivirus; Norovirus","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","No","03/26/2020"
"1839-80","Quaternary ammonium","NP 12.5 Detergent/Disinfectant","Stepan Company","Adenovirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/26/2020"
"1839-97","Quaternary ammonium","NP 12.5 (D&F) Detergent/Disinfectant","Stepan Company","Adenovirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","No","03/26/2020"
"34810-21","Phenolic","Ready To Use Wex-Cide","Wexford Labs Inc","Rhinovirus","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/26/2020"
"3862-179","Phenolic","Opti-Phene","ABC Compounding Co Inc","Human adenovirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/26/2020"
"3862-181","Quaternary ammonium","Foaming Disinfectant Cleaner","ABC Compounding Co Inc","Poliovirus","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","No","03/26/2020"
"61178-2","Quaternary ammonium","Public Places","Microgen Inc","Feline calicivirus","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","No","03/26/2020"
"63761-5","Quaternary ammonium; Sodium carbonate peroxyhydrate","Sterilex Ultra Powder","Sterilex","Feline calicivirus; Norovirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/26/2020"
"64240-65","Lactic acid","WC Complete","Combat Insect Control Systems","Rhinovirus","0.5 (30 seconds)","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/26/2020"
"675-30","Quaternary ammonium","Roccal II 10%","Reckitt Benckiser LLC","Adenovirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","No","03/26/2020"
"6836-333","Quaternary ammonium","MMR-4U","Lonza LLC","Feline calicivirus; Norovirus","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","No","03/26/2020"
"70271-24","Sodium hypochlorite","Tecumseh B","KIK International LLC","Feline calicivirus; Norovirus","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/26/2020"
"70590-1","Sodium hypochlorite","Hype-Wipe","Current Technologies Inc","Feline calicivirus; Norovirus","1","Wipe","Hard Nonporous (HN)","Healthcare; Institutional","No","03/26/2020"
"70627-33","Quaternary ammonium","Envy Liquid Disinfectant Cleaner","Diversey Inc","Canine parvovirus","5","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","No","03/26/2020"
"71847-2","Sodium dichloroisocyanurate","Klor-Kleen","Medentech LTD","Feline calicivirus; Norovirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","No","03/26/2020"
"777-102","Sodium hypochlorite","Lysol® Brand Toilet Bowl Cleaner with Bleach","Reckitt Benckiser LLC","Rhinovirus","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/26/2020"
"777-104","Hydrochloric acid","Vanity GP","Reckitt Benckiser LLC","Poliovirus","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/26/2020"
"777-71","Quaternary ammonium","Lysol® Brand Foaming Disinfectant Basin Tub & Tile Cleaner II","Reckitt Benckiser LLC","Feline calicivirus; Norovirus","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/26/2020"
"84526-1","Hydrogen peroxide; Silver","HaloSpray","Halosil International Inc","Feline calicivirus; Norovirus","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/26/2020"
"88089-2","Hydrogen peroxide; Peroxyacetic acid (Peracetic acid)","Peridox","BioMed Protect LLC","Feline calicivirus; Norovirus","2","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/26/2020"
"88089-4","Hydrogen peroxide; Peroxyacetic acid (Peracetic acid)","PeridoxRTU™","BioMed Protect LLC","Canine parvovirus","3","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/26/2020"
"88494-2","Ethanol (Ethyl alcohol); Quaternary ammonium","Wedge Disinfectant Wipes","North American Infection Control Ltd","Poliovirus","1","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","No","03/26/2020"
"9480-11","Quaternary ammonium","BackSpray RTU","Professional Disposables International Inc","Feline calicivirus; Norovirus","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/26/2020"
"10324-59","Quaternary ammonium","Maquat 64","Mason Chemical Company","Human coronavirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/19/2020"
"777-128","Quaternary ammonium","Lysol® Laundry Sanitizer","Reckitt Benckiser LLC","Human coronavirus","5","Dilutable","Porous (P) (laundry presoak only)","Residential","No","03/19/2020"
"10324-105","Quaternary ammonium","Maquat 128-PD","Mason Chemical Company","Human coronavirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"10324-108","Quaternary ammonium","Maquat 256-MN","Mason Chemical Company","Human coronavirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","No","03/13/2020"
"10324-112","Quaternary ammonium","Maquat 128-MN","Mason Chemical Company","Human coronavirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","No","03/13/2020"
"10324-113","Quaternary ammonium","Maquat 64-MN","Mason Chemical Company","Human coronavirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","No","03/13/2020"
"10324-114","Quaternary ammonium","Maquat 32-MN","Mason Chemical Company","Human coronavirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","No","03/13/2020"
"10324-115","Quaternary ammonium","Maquat 750-M","Mason Chemical Company","Human coronavirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"10324-140","Quaternary ammonium","Maquat MQ2525M-CPV","Mason Chemical Company","Human coronavirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","No","03/13/2020"
"10324-141","Quaternary ammonium","Maquat 256-NHQ","Mason Chemical Company","Human coronavirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"10324-142","Quaternary ammonium","Maquat MQ2525M-14","Mason Chemical Company","Human coronavirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","No","03/13/2020"
"10324-154","Quaternary ammonium","Maquat 64-NHQ","Mason Chemical Company","Human coronavirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"10324-155","Quaternary ammonium","Maquat 128-NHQ","Mason Chemical Company","Human coronavirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"10324-156","Quaternary ammonium","Maquat 512-NHQ","Mason Chemical Company","Human coronavirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"10324-157","Quaternary ammonium","Maquat 32-NHQ","Mason Chemical Company","Human coronavirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"10324-164","Quaternary ammonium","Maquat 256-PD","Mason Chemical Company","Human coronavirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"10324-166","Quaternary ammonium","Maquat 32","Mason Chemical Company","Human coronavirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","No","03/13/2020"
"10324-167","Quaternary ammonium","Maquat 32-PD","Mason Chemical Company","Human coronavirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"10324-177","Quaternary ammonium","Maquat 705-M","Mason Chemical Company","Human coronavirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR); Porous (P) (laundry presoak only)","Healthcare; Institutional; Residential","No","03/13/2020"
"10324-194","Quaternary ammonium","Maquat 2420-10","Mason Chemical Company","Human coronavirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"10324-198","Quaternary ammonium","Maquat 702.5-M","Mason Chemical Company","Human coronavirus","10","Dilutable","Food Contact Post-Rinse Required (FCR); Porous (P) (laundry presoak only)","Healthcare; Institutional; Residential","No","03/13/2020"
"10324-214","Hydrogen peroxide; Peroxyacetic acid (Peracetic acid)","Maguard 5626","Mason Chemical Company","Human coronavirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"10324-230","Hydrogen peroxide; Peroxyacetic acid (Peracetic acid)","Maguard 1522","Mason Chemical Company","Human coronavirus","1","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"10324-57","Quaternary ammonium","Maquat 42","Mason Chemical Company","Human coronavirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"10324-58","Quaternary ammonium","Maquat 128","Mason Chemical Company","Human coronavirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"10324-63","Quaternary ammonium","Maquat 10","Mason Chemical Company","Human coronavirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"10324-71","Quaternary ammonium","Maquat 280","Mason Chemical Company","Human coronavirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"10324-72","Quaternary ammonium","Maquat 615-HD","Mason Chemical Company","Human coronavirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","No","03/13/2020"
"10324-80","Quaternary ammonium","Maquat 5.5-M","Mason Chemical Company","Human coronavirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"10324-93","Quaternary ammonium","Maquat 64-PD","Mason Chemical Company","Human coronavirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"10324-94","Quaternary ammonium","Maquat 20-M","Mason Chemical Company","Human coronavirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","No","03/13/2020"
"10324-96","Quaternary ammonium","Maquat 50-DS","Mason Chemical Company","Human coronavirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","No","03/13/2020"
"10324-99","Quaternary ammonium","Maquat 10-PD","Mason Chemical Company","Human coronavirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"10492-5","Quaternary ammonium; Isopropanol (Isopropyl alcohol)","Discide Ultra Disinfecting Spray","Palmero Healthcare LLC","Human coronavirus","0.5 (30 seconds)","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"11346-4","Quaternary ammonium","Clorox QS","The Clorox Company","Human coronavirus","2","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Residential","No","03/13/2020"
"1672-67","Sodium hypochlorite","Austin's A-1 Concentrated Bleach 8.25%","James Austin Company","Human coronavirus","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"1677-204","Octanoic acid","65 Disinfecting Heavy Duty Acid Bathroom Cleaner","Ecolab Inc","Human coronavirus","2","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","No","03/13/2020"
"1677-241","Sodium hypochlorite","Hydris","Ecolab Inc","Human coronavirus","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","No","03/13/2020"
"1839-176","Quaternary ammonium","Liquid-pak Neutral Disinfectant Cleaner","Stepan Company","Human coronavirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","No","03/13/2020"
"1839-190","Quaternary ammonium","Stepan Disinfectant Wipe","Stepan Company","Human coronavirus","10","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"1839-214","Quaternary ammonium","SC-NDC-256","Stepan Company","Human coronavirus","5","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","No","03/13/2020"
"1839-78","Quaternary ammonium","NP 3.2 Detergent/disinfectant","Stepan Company","Human coronavirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","No","03/13/2020"
"1839-79","Quaternary ammonium","NP 4.5 Detergent/disinfectant","Stepan Company","Human coronavirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","No","03/13/2020"
"1839-81","Quaternary ammonium","NP 9.0 Detergent/disinfectant","Stepan Company","Human coronavirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","No","03/13/2020"
"1839-94","Quaternary ammonium","NP 3.2 (D&F) Detergent/disinfectant","Stepan Company","Human coronavirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"3862-191","Quaternary ammonium","Assure","ABC Compounding Co Inc","Human coronavirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"4091-23","Sodium hypochlorite; Sodium carbonate","Mold Armor Formula 400","W.M. Barr & Company Inc","Human coronavirus","0.5 (30 seconds)","Ready-to-use","Hard Nonporous (HN)","Institutional; Residential","No","03/13/2020"
"42964-17","Quaternary ammonium; Ethanol (Ethyl alcohol)","Asepticare","Airkem professional products","Human coronavirus","2","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"46781-6","Quaternary ammonium; Isopropanol (Isopropyl alcohol)","Cavicide","Metrex Research","Human coronavirus","2","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"4822-606","L-Lactic Acid","Fangio","S.C. Johnson & Son Inc","Human coronavirus","10","Ready-to-use","Hard Nonporous (HN)","Institutional; Residential","No","03/13/2020"
"4822-607","Quaternary ammonium","Lauda","S.C. Johnson & Son Inc","Human coronavirus","5","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Institutional; Residential","No","03/13/2020"
"4822-608","L-Lactic acid","Gurney","S.C. Johnson & Son Inc","Human coronavirus","5","Ready-to-use","Hard Nonporous (HN)","Institutional; Residential","No","03/13/2020"
"4822-609","Quaternary ammonium","Stewart","S.C. Johnson & Son Inc","Human coronavirus","3","Ready-to-use","Hard Nonporous (HN)","Institutional; Residential","No","03/13/2020"
"54289-4","Peroxyacetic acid (Peracetic acid)","Peraclean 15 (Peroxyacetic Acid Solution)","Evonik Corporation","Human coronavirus","1","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","No","03/13/2020"
"56392-10","Sodium hypochlorite","Caltech Swat 200 9B","Clorox Professional Products Company","Human coronavirus","2","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","No","03/13/2020"
